id,name,subdir,relative_path,text_prompt
1629,Michter's US1 Kentucky Straight Bourbon,michters_us1_kentucky_straight_bourbon,data\images\michters_us1_kentucky_straight_bourbon\1629_michters_us1_kentucky_straight_bourbon.jpg,A photo of Michter's US1 Kentucky Straight Bourbon Bourbon whisky
3574,1792 Bottled In Bond,1792_bottled_in_bond,data\images\1792_bottled_in_bond\3574_1792_bottled_in_bond.jpg,A photo of 1792 Bottled In Bond Bourbon whisky
1510,Booker's Bourbon,bookers_bourbon,data\images\bookers_bourbon\1510_bookers_bourbon.jpg,A photo of Booker's Bourbon Bourbon whisky
3300,Pappy Van Winkle 15 Year Family Reserve,pappy_van_winkle_15_year_family_reserve,data\images\pappy_van_winkle_15_year_family_reserve\3300_pappy_van_winkle_15_year_family_reserve.jpg,A photo of Pappy Van Winkle 15 Year Family Reserve Bourbon whisky
33209,Russell’s Reserve 15 Year,russell’s_reserve_15_year,data\images\russell’s_reserve_15_year\33209_russell’s_reserve_15_year.png,A photo of Russell’s Reserve 15 Year Bourbon whisky
2879,1792 Sweet Wheat Bourbon,1792_sweet_wheat_bourbon,data\images\1792_sweet_wheat_bourbon\2879_1792_sweet_wheat_bourbon.jpg,A photo of 1792 Sweet Wheat Bourbon Bourbon whisky
3819,1792 Single Barrel,1792_single_barrel,data\images\1792_single_barrel\3819_1792_single_barrel.jpg,A photo of 1792 Single Barrel Bourbon whisky
21319,Traveller Whiskey,traveller_whiskey,data\images\traveller_whiskey\21319_traveller_whiskey.jpg,A photo of Traveller Whiskey Bourbon whisky
3660,Woodford Reserve Bourbon,woodford_reserve_bourbon,data\images\woodford_reserve_bourbon\3660_woodford_reserve_bourbon.jpg,A photo of Woodford Reserve Bourbon Bourbon whisky
4739,Colonel E.H. Taylor Barrel Proof - Batch 6,colonel_e.h._taylor_barrel_proof__batch_6,data\images\colonel_e.h._taylor_barrel_proof__batch_6\4739_colonel_e.h._taylor_barrel_proof__batch_6.jpg,A photo of Colonel E.H. Taylor Barrel Proof - Batch 6 Bourbon whisky
4245,Larceny Barrel Proof,larceny_barrel_proof,data\images\larceny_barrel_proof\4245_larceny_barrel_proof.jpg,A photo of Larceny Barrel Proof Bourbon whisky
4448,Weller Single Barrel,weller_single_barrel,data\images\weller_single_barrel\4448_weller_single_barrel.jpg,A photo of Weller Single Barrel Bourbon whisky
477,George T. Stagg 2009 Release,george_t._stagg_2009_release,data\images\george_t._stagg_2009_release\477_george_t._stagg_2009_release.jpg,A photo of George T. Stagg 2009 Release Bourbon whisky
4762,Jack Daniel's Single Barrel Barrel Proof,jack_daniels_single_barrel_barrel_proof,data\images\jack_daniels_single_barrel_barrel_proof\4762_jack_daniels_single_barrel_barrel_proof.jpg,A photo of Jack Daniel's Single Barrel Barrel Proof Whiskey whisky
4255,Blade and Bow Bourbon,blade_and_bow_bourbon,data\images\blade_and_bow_bourbon\4255_blade_and_bow_bourbon.jpg,A photo of Blade and Bow Bourbon Bourbon whisky
620,Buffalo Trace,buffalo_trace,data\images\buffalo_trace\620_buffalo_trace.jpg,A photo of Buffalo Trace Bourbon whisky
4373,Four Roses Small Batch Select,four_roses_small_batch_select,data\images\four_roses_small_batch_select\4373_four_roses_small_batch_select.jpg,A photo of Four Roses Small Batch Select Bourbon whisky
3671,"E.H. Taylor, Jr. Straight Rye","e.h._taylor,_jr._straight_rye","data\images\e.h._taylor,_jr._straight_rye\3671_e.h._taylor,_jr._straight_rye.jpg","A photo of E.H. Taylor, Jr. Straight Rye Rye whisky"
4708,Wild Turkey 101,wild_turkey_101,data\images\wild_turkey_101\4708_wild_turkey_101.jpg,A photo of Wild Turkey 101 Bourbon whisky
519,Pappy Van Winkle 23 Year Family Reserve,pappy_van_winkle_23_year_family_reserve,data\images\pappy_van_winkle_23_year_family_reserve\519_pappy_van_winkle_23_year_family_reserve.jpg,A photo of Pappy Van Winkle 23 Year Family Reserve Bourbon whisky
15947,Smoke Wagon Small Batch Bourbon,smoke_wagon_small_batch_bourbon,data\images\smoke_wagon_small_batch_bourbon\15947_smoke_wagon_small_batch_bourbon.jpg,A photo of Smoke Wagon Small Batch Bourbon Bourbon whisky
15966,Knob Creek 9 Year,knob_creek_9_year,data\images\knob_creek_9_year\15966_knob_creek_9_year.jpg,A photo of Knob Creek 9 Year Bourbon whisky
13668,Maker's Mark 101,makers_mark_101,data\images\makers_mark_101\13668_makers_mark_101.jpg,A photo of Maker's Mark 101 Bourbon whisky
1702,High West A Midwinter Night's Dram Act 4 Scene 5,high_west_a_midwinter_nights_dram_act_4_scene_5,data\images\high_west_a_midwinter_nights_dram_act_4_scene_5\1702_high_west_a_midwinter_nights_dram_act_4_scene_5.jpg,A photo of High West A Midwinter Night's Dram Act 4 Scene 5 Rye whisky
3959,William Larue Weller - 2009,william_larue_weller__2009,data\images\william_larue_weller__2009\3959_william_larue_weller__2009.jpg,A photo of William Larue Weller - 2009 Bourbon whisky
4002,Michter's 10 Year Single Barrel Bourbon 2020 Bottling,michters_10_year_single_barrel_bourbon_2020_bottling,data\images\michters_10_year_single_barrel_bourbon_2020_bottling\4002_michters_10_year_single_barrel_bourbon_2020_bottling.jpg,A photo of Michter's 10 Year Single Barrel Bourbon 2020 Bottling Bourbon whisky
987,Widow Jane 10 Year Straight Bourbon,widow_jane_10_year_straight_bourbon,data\images\widow_jane_10_year_straight_bourbon\987_widow_jane_10_year_straight_bourbon.jpg,A photo of Widow Jane 10 Year Straight Bourbon Bourbon whisky
13584,Jack Daniel's Single Barrel Rye Barrel Proof,jack_daniels_single_barrel_rye_barrel_proof,data\images\jack_daniels_single_barrel_rye_barrel_proof\13584_jack_daniels_single_barrel_rye_barrel_proof.jpg,A photo of Jack Daniel's Single Barrel Rye Barrel Proof Rye whisky
3694,"Van Winkle 12 Year Special Reserve Lot ""B""",van_winkle_12_year_special_reserve_lot_b,data\images\van_winkle_12_year_special_reserve_lot_b\3694_van_winkle_12_year_special_reserve_lot_b.jpg,"A photo of Van Winkle 12 Year Special Reserve Lot ""B"" Bourbon whisky"
1641,Wild Turkey Kentucky Spirit Single Barrel,wild_turkey_kentucky_spirit_single_barrel,data\images\wild_turkey_kentucky_spirit_single_barrel\1641_wild_turkey_kentucky_spirit_single_barrel.jpg,A photo of Wild Turkey Kentucky Spirit Single Barrel Bourbon whisky
17951,Penelope Architect,penelope_architect,data\images\penelope_architect\17951_penelope_architect.jpg,A photo of Penelope Architect Bourbon whisky
144,Elijah Craig Barrel Proof Batch A119,elijah_craig_barrel_proof_batch_a119,data\images\elijah_craig_barrel_proof_batch_a119\144_elijah_craig_barrel_proof_batch_a119.jpg,A photo of Elijah Craig Barrel Proof Batch A119 Bourbon whisky
3773,Four Roses Small Batch,four_roses_small_batch,data\images\four_roses_small_batch\3773_four_roses_small_batch.jpg,A photo of Four Roses Small Batch Bourbon whisky
1269,Maker's Mark 46,makers_mark_46,data\images\makers_mark_46\1269_makers_mark_46.jpg,A photo of Maker's Mark 46 Bourbon whisky
18530,Knob Creek 18 Year Limited Edition,knob_creek_18_year_limited_edition,data\images\knob_creek_18_year_limited_edition\18530_knob_creek_18_year_limited_edition.jpg,A photo of Knob Creek 18 Year Limited Edition Bourbon whisky
2755,Maker's Mark Bourbon,makers_mark_bourbon,data\images\makers_mark_bourbon\2755_makers_mark_bourbon.jpg,A photo of Maker's Mark Bourbon Bourbon whisky
17318,Jack Daniel's 10 Year,jack_daniels_10_year,data\images\jack_daniels_10_year\17318_jack_daniels_10_year.jpg,A photo of Jack Daniel's 10 Year Whiskey whisky
3651,Eagle Rare 10 Year,eagle_rare_10_year,data\images\eagle_rare_10_year\3651_eagle_rare_10_year.jpg,A photo of Eagle Rare 10 Year Bourbon whisky
14150,1792 Aged Twelve Years,1792_aged_twelve_years,data\images\1792_aged_twelve_years\14150_1792_aged_twelve_years.jpg,A photo of 1792 Aged Twelve Years Bourbon whisky
3731,Michter's US1 Toasted Sour Mash,michters_us1_toasted_sour_mash,data\images\michters_us1_toasted_sour_mash\3731_michters_us1_toasted_sour_mash.jpg,A photo of Michter's US1 Toasted Sour Mash Bourbon whisky
3674,Bulleit Bourbon,bulleit_bourbon,data\images\bulleit_bourbon\3674_bulleit_bourbon.jpg,A photo of Bulleit Bourbon Bourbon whisky
20691,Elijah Craig Barrel Proof C923,elijah_craig_barrel_proof_c923,data\images\elijah_craig_barrel_proof_c923\20691_elijah_craig_barrel_proof_c923.jpg,A photo of Elijah Craig Barrel Proof C923 Bourbon whisky
1217,Joseph Magnus Cigar Blend Bourbon,joseph_magnus_cigar_blend_bourbon,data\images\joseph_magnus_cigar_blend_bourbon\1217_joseph_magnus_cigar_blend_bourbon.jpg,A photo of Joseph Magnus Cigar Blend Bourbon Bourbon whisky
1966,Jack Daniel's Sinatra Select,jack_daniels_sinatra_select,data\images\jack_daniels_sinatra_select\1966_jack_daniels_sinatra_select.jpg,A photo of Jack Daniel's Sinatra Select Whiskey whisky
20783,Larceny Barrel Proof Batch C923,larceny_barrel_proof_batch_c923,data\images\larceny_barrel_proof_batch_c923\20783_larceny_barrel_proof_batch_c923.jpg,A photo of Larceny Barrel Proof Batch C923 Bourbon whisky
17248,Benchmark Full Proof,benchmark_full_proof,data\images\benchmark_full_proof\17248_benchmark_full_proof.jpg,A photo of Benchmark Full Proof Bourbon whisky
21356,Old Forester 1924 10 Year,old_forester_1924_10_year,data\images\old_forester_1924_10_year\21356_old_forester_1924_10_year.jpg,A photo of Old Forester 1924 10 Year Bourbon whisky
3775,Yellowstone Select,yellowstone_select,data\images\yellowstone_select\3775_yellowstone_select.jpg,A photo of Yellowstone Select Bourbon whisky
46254,Wild Turkey Jimmy Russell 70th Anniversary,wild_turkey_jimmy_russell_70th_anniversary,data\images\wild_turkey_jimmy_russell_70th_anniversary\46254_wild_turkey_jimmy_russell_70th_anniversary.jpg,A photo of Wild Turkey Jimmy Russell 70th Anniversary Bourbon whisky
2969,Old Ezra 7 Year Barrel Strength,old_ezra_7_year_barrel_strength,data\images\old_ezra_7_year_barrel_strength\2969_old_ezra_7_year_barrel_strength.jpg,A photo of Old Ezra 7 Year Barrel Strength Bourbon whisky
4299,Jack Daniel's Single Barrel Select,jack_daniels_single_barrel_select,data\images\jack_daniels_single_barrel_select\4299_jack_daniels_single_barrel_select.jpg,A photo of Jack Daniel's Single Barrel Select Whiskey whisky
1046,Double Eagle Very Rare,double_eagle_very_rare,data\images\double_eagle_very_rare\1046_double_eagle_very_rare.jpg,A photo of Double Eagle Very Rare Bourbon whisky
17358,Jack Daniel's Coy Hill Single Barrel,jack_daniels_coy_hill_single_barrel,data\images\jack_daniels_coy_hill_single_barrel\17358_jack_daniels_coy_hill_single_barrel.jpg,A photo of Jack Daniel's Coy Hill Single Barrel Whiskey whisky
16960,Basil Hayden Toast,basil_hayden_toast,data\images\basil_hayden_toast\16960_basil_hayden_toast.jpg,A photo of Basil Hayden Toast Bourbon whisky
2533,Knob Creek 9 Year Single Barrel Reserve,knob_creek_9_year_single_barrel_reserve,data\images\knob_creek_9_year_single_barrel_reserve\2533_knob_creek_9_year_single_barrel_reserve.jpg,A photo of Knob Creek 9 Year Single Barrel Reserve Bourbon whisky
803,Redwood Empire Pipe Dream,redwood_empire_pipe_dream,data\images\redwood_empire_pipe_dream\803_redwood_empire_pipe_dream.jpg,A photo of Redwood Empire Pipe Dream Bourbon whisky
3755,Angel's Envy Rye,angels_envy_rye,data\images\angels_envy_rye\3755_angels_envy_rye.jpg,A photo of Angel's Envy Rye Rye whisky
19547,Jack Daniel’s 12 Year Tennessee Whiskey #1,jack_daniel’s_12_year_tennessee_whiskey_#1,data\images\jack_daniel’s_12_year_tennessee_whiskey_#1\19547_jack_daniel’s_12_year_tennessee_whiskey_#1.jpg,A photo of Jack Daniel’s 12 Year Tennessee Whiskey #1 Whiskey whisky
16681,Blanton's Black,blantons_black,data\images\blantons_black\16681_blantons_black.jpg,A photo of Blanton's Black Bourbon whisky
2706,Elijah Craig Barrel Proof Batch B519,elijah_craig_barrel_proof_batch_b519,data\images\elijah_craig_barrel_proof_batch_b519\2706_elijah_craig_barrel_proof_batch_b519.jpg,A photo of Elijah Craig Barrel Proof Batch B519 Bourbon whisky
4776,Pappy Van Winkle 20 Year Family Reserve,pappy_van_winkle_20_year_family_reserve,data\images\pappy_van_winkle_20_year_family_reserve\4776_pappy_van_winkle_20_year_family_reserve.jpg,A photo of Pappy Van Winkle 20 Year Family Reserve Bourbon whisky
1708,Bowman Brothers Small Batch,bowman_brothers_small_batch,data\images\bowman_brothers_small_batch\1708_bowman_brothers_small_batch.jpg,A photo of Bowman Brothers Small Batch Bourbon whisky
2849,Hancock's President's Reserve Bourbon,hancocks_presidents_reserve_bourbon,data\images\hancocks_presidents_reserve_bourbon\2849_hancocks_presidents_reserve_bourbon.jpg,A photo of Hancock's President's Reserve Bourbon Bourbon whisky
2769,Old Forester 1897 Bottled In Bond,old_forester_1897_bottled_in_bond,data\images\old_forester_1897_bottled_in_bond\2769_old_forester_1897_bottled_in_bond.jpg,A photo of Old Forester 1897 Bottled In Bond Bourbon whisky
5194,Michter's US1 Kentucky Straight Rye,michters_us1_kentucky_straight_rye,data\images\michters_us1_kentucky_straight_rye\5194_michters_us1_kentucky_straight_rye.jpg,A photo of Michter's US1 Kentucky Straight Rye Rye whisky
3317,Michter's Limited Release Toasted Barrel Bourbon,michters_limited_release_toasted_barrel_bourbon,data\images\michters_limited_release_toasted_barrel_bourbon\3317_michters_limited_release_toasted_barrel_bourbon.jpg,A photo of Michter's Limited Release Toasted Barrel Bourbon Bourbon whisky
15948,Smoke Wagon Bourbon,smoke_wagon_bourbon,data\images\smoke_wagon_bourbon\15948_smoke_wagon_bourbon.jpg,A photo of Smoke Wagon Bourbon Bourbon whisky
4948,Thomas H Handy,thomas_h_handy,data\images\thomas_h_handy\4948_thomas_h_handy.jpg,A photo of Thomas H Handy Rye whisky
2353,Knob Creek 15 Year Batch KC001,knob_creek_15_year_batch_kc001,data\images\knob_creek_15_year_batch_kc001\2353_knob_creek_15_year_batch_kc001.jpg,A photo of Knob Creek 15 Year Batch KC001 Bourbon whisky
3958,Basil Hayden's Bourbon,basil_haydens_bourbon,data\images\basil_haydens_bourbon\3958_basil_haydens_bourbon.jpg,A photo of Basil Hayden's Bourbon Bourbon whisky
4450,Buffalo Trace,buffalo_trace,data\images\buffalo_trace\4450_buffalo_trace.jpg,A photo of Buffalo Trace Bourbon whisky
17176,Peerless Double Oak Bourbon,peerless_double_oak_bourbon,data\images\peerless_double_oak_bourbon\17176_peerless_double_oak_bourbon.jpg,A photo of Peerless Double Oak Bourbon Bourbon whisky
7140,Buffalo Trace Bourbon Cream,buffalo_trace_bourbon_cream,data\images\buffalo_trace_bourbon_cream\7140_buffalo_trace_bourbon_cream.jpg,A photo of Buffalo Trace Bourbon Cream Liqueurs whisky
14409,Widow Jane Decadence,widow_jane_decadence,data\images\widow_jane_decadence\14409_widow_jane_decadence.jpg,A photo of Widow Jane Decadence Whiskey whisky
1462,Larceny,larceny,data\images\larceny\1462_larceny.jpg,A photo of Larceny Bourbon whisky
4576,Michter's Single Barrel Rye 10 Year,michters_single_barrel_rye_10_year,data\images\michters_single_barrel_rye_10_year\4576_michters_single_barrel_rye_10_year.jpg,A photo of Michter's Single Barrel Rye 10 Year Rye whisky
429,Old Forester Statesman,old_forester_statesman,data\images\old_forester_statesman\429_old_forester_statesman.jpg,A photo of Old Forester Statesman Bourbon whisky
1663,Redbreast 12 Year Old Single Pot Still,redbreast_12_year_old_single_pot_still,data\images\redbreast_12_year_old_single_pot_still\1663_redbreast_12_year_old_single_pot_still.jpg,A photo of Redbreast 12 Year Old Single Pot Still Irish Whiskey whisky
21689,Crown Royal Blackberry,crown_royal_blackberry,data\images\crown_royal_blackberry\21689_crown_royal_blackberry.jpg,A photo of Crown Royal Blackberry Canadian Whisky whisky
16484,Calumet Farm 15 Year Single Rack Black,calumet_farm_15_year_single_rack_black,data\images\calumet_farm_15_year_single_rack_black\16484_calumet_farm_15_year_single_rack_black.jpg,A photo of Calumet Farm 15 Year Single Rack Black Bourbon whisky
4598,Weller Antique 107,weller_antique_107,data\images\weller_antique_107\4598_weller_antique_107.jpg,A photo of Weller Antique 107 Bourbon whisky
15985,George Dickel 15 Year Single Barrel,george_dickel_15_year_single_barrel,data\images\george_dickel_15_year_single_barrel\15985_george_dickel_15_year_single_barrel.jpg,A photo of George Dickel 15 Year Single Barrel Whiskey whisky
17021,Little Book Chapter 5: The Invitation,little_book_chapter_5_the_invitation,data\images\little_book_chapter_5_the_invitation\17021_little_book_chapter_5_the_invitation.jpg,A photo of Little Book Chapter 5: The Invitation Bourbon whisky
4486,John J. Bowman Single Barrel 10 Year,john_j._bowman_single_barrel_10_year,data\images\john_j._bowman_single_barrel_10_year\4486_john_j._bowman_single_barrel_10_year.jpg,A photo of John J. Bowman Single Barrel 10 Year Bourbon whisky
1636,Russell’s Reserve Private Barrel Selection Single Barrel,russell’s_reserve_private_barrel_selection_single_barrel,data\images\russell’s_reserve_private_barrel_selection_single_barrel\1636_russell’s_reserve_private_barrel_selection_single_barrel.jpg,A photo of Russell’s Reserve Private Barrel Selection Single Barrel Bourbon whisky
220,Noah's Mill,noahs_mill,data\images\noahs_mill\220_noahs_mill.jpg,A photo of Noah's Mill Bourbon whisky
3941,Michter's US1 Unblended American Whiskey,michters_us1_unblended_american_whiskey,data\images\michters_us1_unblended_american_whiskey\3941_michters_us1_unblended_american_whiskey.jpg,A photo of Michter's US1 Unblended American Whiskey Bourbon whisky
4593,Kentucky Owl Confiscated,kentucky_owl_confiscated,data\images\kentucky_owl_confiscated\4593_kentucky_owl_confiscated.jpg,A photo of Kentucky Owl Confiscated Bourbon whisky
1924,Old Tub,old_tub,data\images\old_tub\1924_old_tub.jpg,A photo of Old Tub Bourbon whisky
2594,Eagle Rare 17 Year,eagle_rare_17_year,data\images\eagle_rare_17_year\2594_eagle_rare_17_year.jpg,A photo of Eagle Rare 17 Year Bourbon whisky
14147,Blanton's,blantons,data\images\blantons\14147_blantons.jpg,A photo of Blanton's Bourbon whisky
19806,John J. Bowman Single Barrel Limited Edition,john_j._bowman_single_barrel_limited_edition,data\images\john_j._bowman_single_barrel_limited_edition\19806_john_j._bowman_single_barrel_limited_edition.jpg,A photo of John J. Bowman Single Barrel Limited Edition Bourbon whisky
2476,Old Grand Dad Bonded,old_grand_dad_bonded,data\images\old_grand_dad_bonded\2476_old_grand_dad_bonded.jpg,A photo of Old Grand Dad Bonded Bourbon whisky
19971,Penelope 5 Year Toasted Barrel,penelope_5_year_toasted_barrel,data\images\penelope_5_year_toasted_barrel\19971_penelope_5_year_toasted_barrel.jpg,A photo of Penelope 5 Year Toasted Barrel Bourbon whisky
1800,Bomberger Small Batch Straight Bourbon,bomberger_small_batch_straight_bourbon,data\images\bomberger_small_batch_straight_bourbon\1800_bomberger_small_batch_straight_bourbon.jpg,A photo of Bomberger Small Batch Straight Bourbon Bourbon whisky
19503,Ben Holladay Soft Red Wheat Bottled in Bond,ben_holladay_soft_red_wheat_bottled_in_bond,data\images\ben_holladay_soft_red_wheat_bottled_in_bond\19503_ben_holladay_soft_red_wheat_bottled_in_bond.jpg,A photo of Ben Holladay Soft Red Wheat Bottled in Bond Bourbon whisky
38465,Maker's Mark Wood Finish Series The Heart Release 2024,makers_mark_wood_finish_series_the_heart_release_2024,data\images\makers_mark_wood_finish_series_the_heart_release_2024\38465_makers_mark_wood_finish_series_the_heart_release_2024.jpg,A photo of Maker's Mark Wood Finish Series The Heart Release 2024 Bourbon whisky
